id,polarization,mean intention,adoption rate
300,0.05751593514547666,0.5162148928492083,0.8
301,0.09134725638917912,0.3679846434877597,0.71
302,0.08769211893758586,0.10390851513765292,0.56
303,0.07424629957018364,0.3864864830676058,0.75
304,0.09165057376320562,0.2211426221913108,0.65
305,0.15030014469861827,0.17752165524684646,0.49
306,0.0651881366627903,0.17437763539122553,0.49
307,0.09622542474830525,0.3090077488166873,0.65
308,0.08754605447636372,0.28188335254067237,0.69
309,0.09017159895194357,0.17474197539211014,0.51
310,0.09516287199843566,0.13573645398041953,0.41
311,0.10034931203101906,0.24832585623479278,0.62
312,0.13404164043425024,0.07464456334028975,0.51
313,0.0969312121492311,0.3335760452963425,0.79
314,0.12528853199512194,0.20500360121402295,0.63
315,0.12260717807641422,0.3681121542430698,0.62
316,0.07936621757020335,0.3861187187462318,0.83
317,0.09309265323685195,0.44573384742974254,0.66
318,0.08634917590254178,0.1491529996810047,0.55
319,0.1381436685033005,0.21554224822091167,0.55
320,0.10267271466891621,0.18984159330682865,0.61
321,0.0701730180765295,0.19155130327176795,0.51
322,0.06834879996472892,0.32985176862483484,0.65
323,0.16770623052151729,0.3277914285164511,0.67
324,0.06563838479013714,0.2556051640432968,0.48
325,0.06866973659336678,0.14438229122384183,0.62
326,0.06325804829755922,0.05504380187491176,0.45
327,0.08847140008876399,0.28462694709392977,0.65
328,0.07726669677456821,0.3900615751678144,0.75
329,0.0794169258609753,0.24759834195681993,0.58
330,0.0946591427269569,0.2721159469515368,0.64
331,0.10551740041816186,-0.01369524468881373,0.39
332,0.057519350004247224,0.3494536671291409,0.6
333,0.12474882594014959,0.29875604727082405,0.66
334,0.0752588964703202,0.17327246456307832,0.45
335,0.08750900649368903,0.23230951781721307,0.58
336,0.05846205582370236,0.175988805949026,0.55
337,0.14875399041155524,0.2948311397287018,0.59
338,0.08897397445604234,0.29406016810345575,0.58
339,0.08231430509657967,0.39221378462168927,0.77
340,0.151947237421775,0.235666732132506,0.52
341,0.06849734751913387,0.33822811143404335,0.75
342,0.07657459987466941,0.21552815616339557,0.55
343,0.1192413107570862,0.13548922876547775,0.43
344,0.10182518252583743,0.24280695338426625,0.67
345,0.08887251585052858,0.23172916772764515,0.54
346,0.07150460058086508,0.13018090401588084,0.58
347,0.09625312472029246,0.28441205634974065,0.66
348,0.05820847982278574,0.12255089058553797,0.57
349,0.10071276160660415,0.1463847803447331,0.56
350,0.06748156786298701,0.0410398180042081,0.43
351,0.08408419724511962,0.36569461029527256,0.66
352,0.08710714885714294,0.41570945607597504,0.83
353,0.04563260269295779,0.07454456706379185,0.39
354,0.08121896808915903,0.2929836834123148,0.62
355,0.06974478337098426,0.12114186900196319,0.44
356,0.080470970951413,0.23318434307111852,0.47
357,0.07626873115595548,0.3968008511506467,0.77
358,0.16051369637531113,0.3141467708156326,0.7
359,0.08279290415339069,0.43072859227181587,0.77
360,0.11360558552232569,0.30783678143640214,0.73
361,0.09155740699932606,0.2504169219160426,0.72
362,0.05125922275958233,0.36561282632434666,0.65
363,0.14674395716473937,0.2827714528719889,0.65
364,0.06430151806446027,0.38456781392505024,0.74
365,0.09240865070841046,0.12093844517062138,0.51
366,0.10106890062275464,0.3310848488441107,0.67
367,0.09525264719504223,0.3218731198420186,0.7
368,0.13862957192774686,0.29564270704759293,0.68
369,0.09889477103021392,0.08751253299137288,0.57
370,0.08957202763664752,0.6146406556006968,0.9
371,0.0632657318693235,0.27980018777175036,0.61
372,0.07089906253855817,0.3411212052093127,0.72
373,0.08860431540448273,0.30074544241570533,0.57
374,0.07359232078298435,0.14309179141382328,0.42
375,0.10787725049436149,0.1296090351510361,0.59
376,0.061083523020747085,0.4617736404428696,0.77
377,0.056422662697412355,0.4761033543882038,0.78
378,0.10403289910955148,0.3159190942092955,0.64
379,0.11144533988695232,0.42789600881431233,0.71
380,0.04859671445141818,0.4817713690672839,0.79
381,0.10400973226379386,0.3239151667545835,0.62
382,0.04435948466670058,0.5451168940249193,0.88
383,0.10778825598701791,0.26780603788319524,0.61
384,0.07117701665087264,0.08858043176819892,0.5
385,0.07911639167668415,0.29976589307671825,0.56
386,0.11260589006114848,0.3152828825130152,0.63
387,0.11562531789149273,0.37759448098650517,0.73
388,0.048605748200683335,0.03675842624294121,0.36
389,0.05022573201604409,0.015818578215001326,0.42
390,0.08294213052285236,0.1274351902054114,0.51
391,0.08162509651779541,-0.08079672937639415,0.33
392,0.0617937310177994,0.13047836829668183,0.49
393,0.11895524443499846,0.3593963904103862,0.65
394,0.0717096176081471,0.35308451717807365,0.76
395,0.07247820598261753,0.10603816369515931,0.5
396,0.057763088643677386,0.25116065971058743,0.48
397,0.06696339282201565,0.29273952660035313,0.66
398,0.0872593792578677,0.4061176768666303,0.64
399,0.10574906737158311,0.40942744584224094,0.72
