id,polarization,mean intention,adoption rate
100,0.3085365481845794,0.3085365481845794,0.75
101,0.7274710304010814,0.7274710304010814,0.99
102,0.2528046456300936,0.2528046456300936,0.6
103,0.6078865331787839,0.6078865331787839,0.9
104,0.1937674742354168,0.1937674742354168,0.59
105,0.6813726675649064,0.6813726675649064,0.99
106,0.16622496823793104,0.16622496823793104,0.51
107,0.41320625919632137,0.41320625919632137,0.94
108,0.28557634227254153,0.28557634227254153,0.72
109,0.519957915992238,0.519957915992238,0.96
110,0.6564636831390304,0.6564636831390304,0.99
111,0.4594414713372848,0.4594414713372848,0.9
112,0.2729234813986135,0.2729234813986135,0.71
113,0.17873225863538297,0.17873225863538297,0.67
114,0.39977985153319406,0.39977985153319406,0.92
115,0.512237255170751,0.512237255170751,0.96
116,0.22070420113301065,0.22070420113301065,0.66
117,0.13588155793734621,0.13588155793734621,0.53
118,0.38201269328523435,0.38201269328523435,0.92
119,0.6105287155994505,0.6105287155994505,0.99
120,0.2007174453354964,0.2007174453354964,0.64
121,0.5265366311526443,0.5265366311526443,0.96
122,0.433804923602886,0.433804923602886,0.94
123,0.26702006508996007,0.26702006508996007,0.68
124,0.5175273088064908,0.5175273088064908,0.94
125,0.4859791224114743,0.4859791224114743,0.95
126,0.3649546489665302,0.3649546489665302,0.86
127,0.48392586423025735,0.48392586423025735,0.95
128,0.40457420888956497,0.40457420888956497,0.93
129,-0.17269328029641998,-0.17269328029641998,0.48
130,0.7641321776084818,0.7641321776084818,1.0
131,0.5664556045701589,0.5664556045701589,0.92
132,0.6343967301332082,0.6343967301332082,0.96
133,0.028311486753849792,0.028311486753849792,0.63
134,0.2812068229739169,0.2812068229739169,0.83
135,0.30251332601369646,0.30251332601369646,0.9
136,0.4647432905596277,0.4647432905596277,0.92
137,0.35260582479033603,0.35260582479033603,0.92
138,0.2907730426410968,0.2907730426410968,0.63
139,0.3356421466033011,0.3356421466033011,0.75
140,0.22680398838172874,0.22680398838172874,0.61
141,0.2026550689173729,0.2026550689173729,0.59
142,0.5522543407935377,0.5522543407935377,0.95
143,0.574803842543448,0.574803842543448,0.94
144,0.19462757360693905,0.19462757360693905,0.6
145,0.2313799279131248,0.2313799279131248,0.65
146,0.2314906028203498,0.2314906028203498,0.55
147,0.4450226166988256,0.4450226166988256,0.91
148,0.4297384752791821,0.4297384752791821,0.92
149,0.07702957866989298,0.07702957866989298,0.54
150,0.5628953953959599,0.5628953953959599,0.98
151,0.29285774586218055,0.29285774586218055,0.64
152,0.3169147374500374,0.3169147374500374,0.72
153,0.5134205450448657,0.5134205450448657,0.96
154,0.13184749801152285,0.13184749801152285,0.61
155,0.31812738183420214,0.31812738183420214,0.85
156,0.0010211215585665154,0.0010211215585665154,0.35
157,0.13290530357294106,0.13290530357294106,0.56
158,0.20440953852173538,0.20440953852173538,0.57
159,0.5147544571022914,0.5147544571022914,0.99
160,0.2825201357011754,0.2825201357011754,0.71
161,0.2117892169020849,0.2117892169020849,0.56
162,0.5106655433472149,0.5106655433472149,0.97
163,0.23758420711153924,0.23758420711153924,0.71
164,0.269280228903211,0.269280228903211,0.75
165,0.49477635651755625,0.49477635651755625,0.96
166,0.34478453602119485,0.34478453602119485,0.86
167,0.5318885759414528,0.5318885759414528,0.95
168,0.2484388583472235,0.2484388583472235,0.65
169,0.004712364624146396,0.004712364624146396,0.5
170,0.3884311168240833,0.3884311168240833,0.88
171,0.17127376680762077,0.17127376680762077,0.69
172,0.6097874631965757,0.6097874631965757,0.93
173,0.26746760658164787,0.26746760658164787,0.73
174,0.12547156824258437,0.12547156824258437,0.48
175,0.5452447390336745,0.5452447390336745,0.94
176,0.6696052965088438,0.6696052965088438,0.98
177,0.45970621569319525,0.45970621569319525,0.91
178,0.3208703441195852,0.3208703441195852,0.78
179,0.2443658290168343,0.2443658290168343,0.69
180,0.5583284873166761,0.5583284873166761,0.99
181,0.6465196179916219,0.6465196179916219,0.94
182,0.5580073447496074,0.5580073447496074,0.9
183,0.7185793763144157,0.7185793763144157,0.99
184,0.5916381329236693,0.5916381329236693,0.93
185,0.5997249041353533,0.5997249041353533,0.98
186,0.05474515393013512,0.05474515393013512,0.48
187,0.3388693288334317,0.3388693288334317,0.69
188,0.6002817606803194,0.6002817606803194,0.98
189,0.6702283466107696,0.6702283466107696,0.99
190,0.23455635529181798,0.23455635529181798,0.62
191,0.11888583977117745,0.11888583977117745,0.55
192,0.5235319273403222,0.5235319273403222,0.95
193,0.23783715772340622,0.23783715772340622,0.77
194,0.31812069263904097,0.31812069263904097,0.85
195,0.5144468467863846,0.5144468467863846,0.93
196,0.3773056283773046,0.3773056283773046,0.8
197,0.6431523237646897,0.6431523237646897,0.91
198,0.08858503676537928,0.08858503676537928,0.44
199,0.5775750797336962,0.5775750797336962,0.97
