id,polarization,mean intention,adoption rate
0,-0.8159232780376982,-0.8159232780376982,0.03
1,-0.8562021051053406,-0.8562021051053406,0.06
2,-0.7876691890315881,-0.7876691890315881,0.07
3,-0.8461460554967516,-0.8461460554967516,0.03
4,-0.8632935551419181,-0.8632935551419181,0.05
5,-0.8655014486281094,-0.8655014486281094,0.03
6,-0.8628477068245438,-0.8628477068245438,0.0
7,-0.8018620455646114,-0.8018620455646114,0.08
8,-0.8193313817036105,-0.8193313817036105,0.05
9,-0.7263516254364789,-0.7263516254364789,0.09
10,-0.8361218726165847,-0.8361218726165847,0.13
11,-0.7547605368487722,-0.7547605368487722,0.05
12,-0.896895294199864,-0.896895294199864,0.05
13,-0.8118713318739743,-0.8118713318739743,0.07
14,-0.7619662703220361,-0.7619662703220361,0.06
15,-0.785924870450674,-0.785924870450674,0.02
16,-0.858831131045028,-0.858831131045028,0.01
17,-0.7657448826437552,-0.7657448826437552,0.1
18,-0.835256481623813,-0.835256481623813,0.05
19,-0.8886522847510574,-0.8886522847510574,0.03
20,-0.8431373714767928,-0.8431373714767928,0.03
21,-0.8812242789452391,-0.8812242789452391,0.02
22,-0.8591091396506279,-0.8591091396506279,0.03
23,-0.8259806267670973,-0.8259806267670973,0.09
24,-0.9100062140264336,-0.9100062140264336,0.01
25,-0.8604928969653384,-0.8604928969653384,0.07
26,-0.7995761751686117,-0.7995761751686117,0.02
27,-0.8051463022912158,-0.8051463022912158,0.05
28,-0.791768806827446,-0.791768806827446,0.04
29,-0.7895629486255591,-0.7895629486255591,0.07
30,-0.8339047944757592,-0.8339047944757592,0.06
31,-0.7123983030549941,-0.7123983030549941,0.09
32,-0.811111524748558,-0.811111524748558,0.04
33,-0.8170359922850352,-0.8170359922850352,0.05
34,-0.795264660369044,-0.795264660369044,0.01
35,-0.8517421420335866,-0.8517421420335866,0.08
36,-0.7717139716946946,-0.7717139716946946,0.01
37,-0.7349614423132022,-0.7349614423132022,0.06
38,-0.7879952541650184,-0.7879952541650184,0.03
39,-0.8603508784093288,-0.8603508784093288,0.02
40,-0.7682271302673152,-0.7682271302673152,0.08
41,-0.7781101518710928,-0.7781101518710928,0.01
42,-0.839254035266949,-0.839254035266949,0.03
43,-0.8866813379359931,-0.8866813379359931,0.03
44,-0.8655187494125187,-0.8655187494125187,0.02
45,-0.8595551456824865,-0.8595551456824865,0.07
46,-0.8205391607285414,-0.8205391607285414,0.02
47,-0.787787803275439,-0.787787803275439,0.07
48,-0.8329395790618555,-0.8329395790618555,0.06
49,-0.7902565349603262,-0.7902565349603262,0.02
50,-0.7977329134877352,-0.7977329134877352,0.07
51,-0.8709703832734833,-0.8709703832734833,0.02
52,-0.8372778504400411,-0.8372778504400411,0.01
53,-0.019049483137745394,-0.019049483137745394,0.0
54,-0.8834296453147676,-0.8834296453147676,0.0
55,-0.7768484587594053,-0.7768484587594053,0.11
56,-0.7742992079549939,-0.7742992079549939,0.01
57,-0.8135347896036964,-0.8135347896036964,0.02
58,-0.8471103255892207,-0.8471103255892207,0.04
59,-0.8157276894253279,-0.8157276894253279,0.02
60,-0.8323615937922834,-0.8323615937922834,0.02
61,-0.9155328469745564,-0.9155328469745564,0.07
62,-0.8262091640034818,-0.8262091640034818,0.05
63,-0.8272210349709165,-0.8272210349709165,0.05
64,-0.8178124029213449,-0.8178124029213449,0.05
65,-0.8295694818548047,-0.8295694818548047,0.08
66,-0.8664614135350542,-0.8664614135350542,0.04
67,-0.7734698275883793,-0.7734698275883793,0.06
68,-0.7775675152574305,-0.7775675152574305,0.04
69,-0.8209123606895972,-0.8209123606895972,0.02
70,-0.8825477055371516,-0.8825477055371516,0.03
71,-0.8368002211683152,-0.8368002211683152,0.07
72,-0.8482955316607306,-0.8482955316607306,0.07
73,-0.8607451277458462,-0.8607451277458462,0.04
74,-0.6737676429279188,-0.6737676429279188,0.16
75,-0.8568941164929101,-0.8568941164929101,0.04
76,-0.8375551550369221,-0.8375551550369221,0.05
77,-0.7264920067794667,-0.7264920067794667,0.11
78,-0.68330365533195,-0.68330365533195,0.1
79,-0.7453108281333718,-0.7453108281333718,0.07
80,-0.8610224145859964,-0.8610224145859964,0.06
81,-0.7905870725645323,-0.7905870725645323,0.05
82,-0.8237796565163896,-0.8237796565163896,0.11
83,-0.7906543792486902,-0.7906543792486902,0.01
84,-0.8586776264425791,-0.8586776264425791,0.07
85,-0.7531167577990562,-0.7531167577990562,0.08
86,-0.870188384580544,-0.870188384580544,0.05
87,-0.7466975117142567,-0.7466975117142567,0.03
88,-0.8590145959310668,-0.8590145959310668,0.08
89,-0.8309700340495805,-0.8309700340495805,0.09
90,-0.75750915099648,-0.75750915099648,0.02
91,-0.851440155239672,-0.851440155239672,0.05
92,-0.7276161879176601,-0.7276161879176601,0.02
93,0.0,0.0,0.0
94,-0.8313345431151677,-0.8313345431151677,0.02
95,-0.744863522435299,-0.744863522435299,0.04
96,-0.8096111697456237,-0.8096111697456237,0.09
97,-0.7678190900882663,-0.7678190900882663,0.1
98,-0.7523862723917063,-0.7523862723917063,0.0
99,-0.7641135606841213,-0.7641135606841213,0.05
