id,polarization,mean intention,adoption rate
0,-0.9849866615764753,-0.9849866615764753,0.22
1,-0.9917538925853391,-0.9917538925853391,0.2
2,-0.9875713220201483,-0.9875713220201483,0.15
3,-0.9807054583014864,-0.9807054583014864,0.24
4,-0.9768962100203212,-0.9768962100203212,0.18
5,-0.9764314392223722,-0.9764314392223722,0.11
6,-0.9311807555890893,-0.9311807555890893,0.17
7,-0.9805140382347146,-0.9805140382347146,0.09
8,-0.9669069591913338,-0.9669069591913338,0.12
9,-0.9513610757514723,-0.9513610757514723,0.17
10,-0.9532848797903246,-0.9532848797903246,0.06
11,-0.9668258522263646,-0.9668258522263646,0.22
12,-0.960371229329377,-0.960371229329377,0.08
13,-0.9684559243738912,-0.9684559243738912,0.11
14,-0.9728738297861228,-0.9728738297861228,0.09
15,-0.9535737761896281,-0.9535737761896281,0.1
16,-0.9827975219665472,-0.9827975219665472,0.14
17,-0.948509018154219,-0.948509018154219,0.12
18,-0.954429118569194,-0.954429118569194,0.03
19,-0.9654549641340631,-0.9654549641340631,0.03
20,-0.9502548922109455,-0.9502548922109455,0.04
21,-0.9678274992613108,-0.9678274992613108,0.04
22,-0.9405270179576852,-0.9405270179576852,0.06
23,-0.9845115844649946,-0.9845115844649946,0.26
24,-0.9916919110823887,-0.9916919110823887,0.12
25,-0.9772835642643517,-0.9772835642643517,0.11
26,-0.9689031487199904,-0.9689031487199904,0.22
27,-0.9705111227699069,-0.9705111227699069,0.13
28,-0.9763910299662167,-0.9763910299662167,0.12
29,-0.9815933384023141,-0.9815933384023141,0.15
30,-0.9803354224886531,-0.9803354224886531,0.04
31,-0.8990718452752259,-0.8990718452752259,0.11
32,-0.9583678572620484,-0.9583678572620484,0.24
33,-0.9447482947746331,-0.9447482947746331,0.03
34,-0.9735215099926274,-0.9735215099926274,0.11
35,-0.9867687404906832,-0.9867687404906832,0.07
36,-0.9562419832965412,-0.9562419832965412,0.06
37,-0.9885405195023158,-0.9885405195023158,0.04
38,-0.9043698517567222,-0.9043698517567222,0.11
39,-0.969656373409397,-0.969656373409397,0.15
40,-0.9433043964743923,-0.9433043964743923,0.06
41,-0.9602002899554013,-0.9602002899554013,0.07
42,-0.9758228343195932,-0.9758228343195932,0.25
43,-0.9906339362008467,-0.9906339362008467,0.26
44,-0.9855569491702042,-0.9855569491702042,0.15
45,-0.9582678606523009,-0.9582678606523009,0.09
46,-0.9751898765383109,-0.9751898765383109,0.11
47,-0.9734680218288442,-0.9734680218288442,0.17
48,-0.955592994483146,-0.955592994483146,0.17
49,-0.983805172906728,-0.983805172906728,0.06
50,-0.9839951993723058,-0.9839951993723058,0.13
51,-0.9888845968008992,-0.9888845968008992,0.12
52,-0.9531035788412691,-0.9531035788412691,0.19
53,-0.9860668271426634,-0.9860668271426634,0.1
54,-0.9445047223637861,-0.9445047223637861,0.13
55,-0.9706774221884585,-0.9706774221884585,0.15
56,-0.9672395985015794,-0.9672395985015794,0.04
57,-0.9660958990669185,-0.9660958990669185,0.13
58,-0.9699521417634115,-0.9699521417634115,0.15
59,-0.9890990403867943,-0.9890990403867943,0.2
60,-0.9735392053568159,-0.9735392053568159,0.11
61,-0.9843857985463791,-0.9843857985463791,0.15
62,-0.9498334078662789,-0.9498334078662789,0.06
63,-0.8529929235770536,-0.8529929235770536,0.05
64,-0.9338323855796492,-0.9338323855796492,0.12
65,-0.9478129569155154,-0.9478129569155154,0.02
66,-0.974204167599427,-0.974204167599427,0.13
67,-0.9931718337905601,-0.9931718337905601,0.04
68,-0.9475571840800232,-0.9475571840800232,0.08
69,-0.9478135584140694,-0.9478135584140694,0.08
70,-0.9460489107214327,-0.9460489107214327,0.06
71,-0.9679257749054474,-0.9679257749054474,0.17
72,-0.976207622774632,-0.976207622774632,0.14
73,-0.9589031104220729,-0.9589031104220729,0.08
74,-0.952519194825186,-0.952519194825186,0.03
75,-0.9732269946585421,-0.9732269946585421,0.06
76,-0.9672164682173162,-0.9672164682173162,0.1
77,-0.9823947659747642,-0.9823947659747642,0.21
78,-0.9587840119028768,-0.9587840119028768,0.09
79,-0.9546926591501329,-0.9546926591501329,0.03
80,-0.9694822184236839,-0.9694822184236839,0.12
81,-0.963986792528014,-0.963986792528014,0.1
82,-0.9808553664763265,-0.9808553664763265,0.14
83,-0.9601834022379309,-0.9601834022379309,0.02
84,-0.9841630773755958,-0.9841630773755958,0.09
85,-0.9373080115844646,-0.9373080115844646,0.11
86,-0.9722333477911289,-0.9722333477911289,0.16
87,-0.9745318089235202,-0.9745318089235202,0.07
88,-0.9569774228984858,-0.9569774228984858,0.17
89,-0.9709519903017128,-0.9709519903017128,0.12
90,-0.9684120423486331,-0.9684120423486331,0.11
91,-0.9852792093124855,-0.9852792093124855,0.11
92,-0.7650713006249539,-0.7650713006249539,0.2
93,-0.9392509483727873,-0.9392509483727873,0.06
94,-0.9681283140326667,-0.9681283140326667,0.05
95,-0.975706594582727,-0.975706594582727,0.09
96,-0.9445371719797003,-0.9445371719797003,0.07
97,-0.920178729840685,-0.920178729840685,0.04
98,-0.9252134033480179,-0.9252134033480179,0.12
99,-0.8873258572002962,-0.8873258572002962,0.14
