id,intention_0,intention_1,intention_2,intention_3,intention_4,intention_5,intention_6,intention_7,intention_8,intention_9,intention_10,intention_11,intention_12,intention_13,intention_14,intention_15,intention_16,intention_17,intention_18,intention_19,intention_20,intention_21,intention_22,intention_23,intention_24,intention_25,intention_26,intention_27,intention_28,intention_29,intention_30,intention_31,intention_32,intention_33,intention_34,intention_35,intention_36,intention_37,intention_38,intention_39,intention_40,intention_41,intention_42,intention_43,intention_44,intention_45,intention_46,intention_47,intention_48,intention_49,intention_50,intention_51,intention_52,intention_53,intention_54,intention_55,intention_56,intention_57,intention_58,intention_59,intention_60,intention_61,intention_62,intention_63,intention_64,intention_65,intention_66,intention_67,intention_68,intention_69,intention_70,intention_71,intention_72,intention_73,intention_74,intention_75,intention_76,intention_77,intention_78,intention_79,intention_80,intention_81,intention_82,intention_83,intention_84,intention_85,intention_86,intention_87,intention_88,intention_89,intention_90,intention_91,intention_92,intention_93,intention_94,intention_95,intention_96,intention_97,intention_98,intention_99
0,-0.008030704448137223,0.008692249147560636,-9.210635373596565E-7,0.01818457556863201,-0.014855947815435788,-0.07322590284159772,-0.13953459560246037,-0.19599679455191588,-0.20998086793049414,-0.22505114367439535,-0.26222753353096556,-0.27837845521386606,-0.31746664500762267,-0.342677051703321,-0.3728440093625571,-0.391764887372394,-0.4103709832172057,-0.43996898996580663,-0.45198096051102565,-0.472075045746137,-0.4830638360398838,-0.49197489215605317,-0.5054609859715568,-0.5240916602216411,-0.5296964476980753,-0.5444383873862416,-0.5477499827129904,-0.5487085234851663,-0.5473899487126789,-0.5602671951260308,-0.5585853796075271,-0.5671852932621555,-0.5786875128914355,-0.5842748004066819,-0.5938012355534429,-0.5926880573722999,-0.6061611514151379,-0.619514052223201,-0.6189159660707945,-0.63319173678372,-0.6391986797254297,-0.6482194259211954,-0.6567195169456117,-0.6645682374975312,-0.6579999105700903,-0.6628946543261653,-0.679531025470219,-0.6755641457058482,-0.7010140741904558,-0.6933019427690889,-0.6974635552942173,-0.707454141116556,-0.7095944547160865,-0.7086684728453203,-0.7135097182062288,-0.7108366391709942,-0.7140204231593139,-0.7090878237249982,-0.7059766908444292,-0.7056185239247063,-0.7041948065676769,-0.7057212555003309,-0.7068883688155703,-0.7089249114031584,-0.704541554534406,-0.7034578370908902,-0.7060625973833574,-0.7028754362986885,-0.7104013928954218,-0.7156957491079039,-0.7280280548456542,-0.7203412670991431,-0.72144868486325,-0.7242146968217269,-0.7314246574061797,-0.7328567099406116,-0.7330268887813601,-0.7316946204037268,-0.7287387108753669,-0.7266053239343694,-0.7269225316272887,-0.7391926400307289,-0.7510725354355563,-0.7535058287302224,-0.7499254940924552,-0.7443258096942698,-0.739414378545212,-0.7423465558025514,-0.7431366579664755,-0.750550714258995,-0.7550969699336875,-0.7537426257806783,-0.7554220272766385,-0.7496505924581699,-0.7520243237192471,-0.7586040216133406,-0.7604907399608877,-0.7664892636501492,-0.7641390325994604,-0.7606721496095126
1,-0.0022265673938013856,0.03091126808730346,0.04847774002122458,0.008435015155508891,-0.00445551008673069,-0.10147134053867138,-0.15033935087926917,-0.18824181063683806,-0.2048726435760731,-0.2634739478282422,-0.298995327095119,-0.3162180779331879,-0.3357167186769572,-0.3462849815891192,-0.38718476091952936,-0.3999457904095831,-0.4277851852930486,-0.43200416103899575,-0.4463282213218468,-0.44797625697381904,-0.4765705142299662,-0.4878880619612715,-0.5040080528931323,-0.5148557197265705,-0.5359167733518673,-0.5433317853914384,-0.5537570324105571,-0.5746940680129938,-0.5838184352020661,-0.5969499348544863,-0.6014888086738427,-0.6087411947375413,-0.6258083832645375,-0.6293074069752972,-0.631808784263518,-0.6411223707434229,-0.6588667945459338,-0.6614981961459974,-0.6702608481697624,-0.6821405778460842,-0.6792504905655783,-0.6877516501109184,-0.6898077661606277,-0.6880371520975003,-0.6938219860230448,-0.7096213422931743,-0.7141428080024406,-0.7212207777047237,-0.7203438774264025,-0.7263481342595444,-0.7275215222938545,-0.7255240929012581,-0.7249492199053071,-0.7352755813995502,-0.7452430863450904,-0.7540851377446601,-0.7609845165407695,-0.7688463089569134,-0.7746561806011285,-0.7748115044963133,-0.7719907324688957,-0.775239729484351,-0.7804184432545227,-0.7794927289682257,-0.7770370303656925,-0.7667444899174367,-0.7687910240801531,-0.77105846846117,-0.7701721797354015,-0.7741508748685841,-0.7780885328145293,-0.779240540677294,-0.7813479878727702,-0.7784347941545652,-0.7826446275513825,-0.7852103478141546,-0.790129573469326,-0.7877480126584631,-0.7979648689052722,-0.7949886980773343,-0.7969524390861118,-0.79854789775612,-0.7957034821281751,-0.8017492998462071,-0.7995069613998029,-0.7941359289256735,-0.7913472157700405,-0.7977695739345052,-0.7973850340047821,-0.8045708195423719,-0.8083871411207468,-0.8115569136048139,-0.8117129818407572,-0.8100779506677412,-0.8144918251096057,-0.8076501556061129,-0.8094331196075796,-0.8123774615711445,-0.8180142962335364,-0.8195288312208304
2,-0.012409386424847098,-0.018089779776896943,-0.0049342909986784325,-0.020417838205691277,-0.014168455959659937,-0.03044637978682993,-0.06961382970004144,-0.08451014407561992,-0.11178105485243778,-0.14928424968706142,-0.18026292765756693,-0.21860243625981848,-0.24535709089016403,-0.2700655780045242,-0.28828980522662906,-0.31392465219591464,-0.3132810217809731,-0.3205763505272388,-0.34494096552728093,-0.3653074990038013,-0.385811418303808,-0.39384072587595786,-0.40577752565961206,-0.4165985073555782,-0.4356342341294943,-0.4564489478264799,-0.4704410408866928,-0.4663072637340103,-0.47265610818535436,-0.4849678033993006,-0.5064635256112103,-0.5099934373745514,-0.5231680219213743,-0.5366976169173859,-0.53517128212876,-0.5555532657689249,-0.5734765377069996,-0.5973813476163246,-0.6061095965060317,-0.6183701475664252,-0.6244298195287321,-0.6285877948543783,-0.6349699362284889,-0.637473027429837,-0.6263333141846059,-0.6385040790935779,-0.6497212007107804,-0.6554902139324917,-0.6587050576856247,-0.6574347842862509,-0.6679462854669953,-0.6746646668466495,-0.6806699398829024,-0.6813023019474115,-0.6825366688903849,-0.6859858191143903,-0.6908794725452035,-0.6918613974091238,-0.688530319502335,-0.6941895015798714,-0.6993996934450191,-0.6984957976235865,-0.6947671993741872,-0.6973237827057989,-0.702877194598905,-0.7053714040952447,-0.7091095390160638,-0.7150948322119541,-0.7116813775973877,-0.7058806923222842,-0.7072496351883426,-0.7052080841555991,-0.7038897429878032,-0.7044376936567818,-0.7111796828914982,-0.7091194100839945,-0.7038153753887794,-0.7057327440055999,-0.7045933583908612,-0.7085124903518902,-0.706557542183493,-0.7130489189661795,-0.7142108908141276,-0.7150400481874553,-0.7144969722798092,-0.715078445148737,-0.7121132717658285,-0.7181245389582156,-0.7199297589744602,-0.7172143755526028,-0.7231113577149033,-0.7224702166186734,-0.7225497910064513,-0.7185051304386019,-0.7276557595675629,-0.7276815574218568,-0.7248800908664096,-0.720077774082873,-0.729110097613776,-0.7309540848890131
3,-0.011701298196335329,-0.0049197299471379664,-0.008060868186900928,-0.0028460395871298338,-0.016244328455124066,-0.03406661984679488,-0.05954529057352197,-0.079267047409327,-0.108017775128294,-0.12557491230407175,-0.16236288246190295,-0.22576146996349497,-0.26410582269590605,-0.2906722477686995,-0.3167555645618114,-0.3289053716197143,-0.33966201978226,-0.3620938967977618,-0.3649848219203193,-0.36925025151796675,-0.38511698903346214,-0.397016153549309,-0.410415740848388,-0.42051738106647507,-0.43844819126388684,-0.4382925784844506,-0.4511398660413871,-0.44814541572462757,-0.46246279192815104,-0.4528365471302896,-0.4673073797168974,-0.4850373070611468,-0.5064659763655334,-0.5224631338359742,-0.5331265705889977,-0.5372123173029624,-0.5427868077276695,-0.5560224260081584,-0.5650746383723901,-0.5637170356238286,-0.5693705238155463,-0.5721560615466057,-0.5750008982432628,-0.5896270647343533,-0.5917033140506663,-0.6031853684067974,-0.6048476494590124,-0.6017997922050083,-0.6010823338400387,-0.614637003078186,-0.6174557184419908,-0.635268183330884,-0.6277019443323855,-0.6280352633112135,-0.6274098881571375,-0.6418963085953139,-0.6500444550546068,-0.6510610605353473,-0.646666887907339,-0.6471619646339671,-0.6540466000493582,-0.6573560684269864,-0.6596933717141765,-0.6680689649426825,-0.6743402952882812,-0.685392483137389,-0.6912075967839852,-0.6980165639033925,-0.7072915678685741,-0.7070345356583871,-0.7100265492920097,-0.7019408439279192,-0.7087741203937874,-0.7067963957789702,-0.7194739054978389,-0.7219499110730951,-0.7235822394746075,-0.7307104504223589,-0.7206478139392357,-0.7268267206504256,-0.7323326721612305,-0.7421431984002127,-0.7434859121747253,-0.7466667924123661,-0.7641689929040091,-0.7669739163017063,-0.7692555106182016,-0.767561216519076,-0.7737958718557171,-0.7619748521122736,-0.758920072143173,-0.7630751845463081,-0.74521088457427,-0.7387513541555896,-0.7350562316465666,-0.7337110067938254,-0.7320713926548224,-0.738710205077649,-0.747207296915428,-0.7533356562813128
4,-0.009817828807753441,0.039725636859317646,0.06523128200901321,0.044225905354732316,0.01879998918751155,-0.020523560890828848,-0.08349521076406105,-0.13857018498603524,-0.1482374970229889,-0.20276689673537757,-0.2280046601053144,-0.2563826263592903,-0.30464481395695464,-0.34711392929246104,-0.39295224648765775,-0.43650308225716017,-0.4586815529651013,-0.4756102872691366,-0.49641294206053393,-0.5102001526412157,-0.5245339496059593,-0.5486120512821615,-0.5716326365908587,-0.5960596831143588,-0.5975492516649841,-0.6133962778943272,-0.6195573195261176,-0.636818697578082,-0.6457795440858526,-0.6540512312944243,-0.6521063853586193,-0.6676629006193815,-0.6729141789986918,-0.6883099268490079,-0.6858423399197917,-0.6918718867406934,-0.6960626657738551,-0.6978019754564078,-0.7058659154879487,-0.7108794529755541,-0.7187264924678424,-0.7274929245822687,-0.724572615201435,-0.7228031995746527,-0.7283814740827254,-0.7390361600495671,-0.7368562102919234,-0.7416560446526126,-0.7567516837737135,-0.7812932828864035,-0.7824053381342193,-0.7838785481454253,-0.7851983017185437,-0.7896413224961445,-0.795518515078028,-0.7950701547300482,-0.7943348712963911,-0.807346326995843,-0.8064198674252048,-0.8087189826440955,-0.8145429182801172,-0.8168477600278394,-0.8118078177644541,-0.8098745244540084,-0.8072865324095436,-0.8102320030058031,-0.80601752951593,-0.8124798627029917,-0.8078223089602357,-0.8026626398219531,-0.8019563752728327,-0.7961954709269261,-0.8033933573286944,-0.8078361572351231,-0.8069299792860494,-0.8131387949355012,-0.8125473069262157,-0.8178644416521854,-0.8150885442097118,-0.8174391515967742,-0.8165911555602143,-0.8210512179510668,-0.8222626216198381,-0.8210147155138706,-0.8264661249081909,-0.831305239270974,-0.8327899828113169,-0.8248619431824816,-0.8247552509840673,-0.8388565773900852,-0.8354474312125058,-0.8420023423593651,-0.8430133768251105,-0.8454279438426079,-0.8415639352811568,-0.8363208724449724,-0.8408636922103851,-0.8401298872199189,-0.8408548266798758,-0.8371390464710273
5,-0.016971325202120323,-0.021622108774816275,-0.022508574591351818,-0.0030169511089468497,-0.00982825093783267,-0.020049898935598182,-0.05585525859855706,-0.11543299473572305,-0.16708288524412881,-0.21224923909667112,-0.2386467028795622,-0.2959646643026682,-0.3351950844729448,-0.37750802775601433,-0.40752249961226766,-0.430118897643274,-0.4561466226775756,-0.4762263734614189,-0.5034401273573025,-0.5063455692248069,-0.5264321584004641,-0.5463046578251278,-0.5545330720101139,-0.5531665239335328,-0.5718608085253014,-0.5785750453918906,-0.595728626863734,-0.6113843540742726,-0.6218342999776136,-0.6335611278712607,-0.6401809141213619,-0.6446128623222779,-0.6541702805265963,-0.6570575414267102,-0.6688608765886491,-0.6883534380406515,-0.6978241185893268,-0.6921777377326692,-0.7001534681284655,-0.7119288805767517,-0.7180321638140518,-0.7227505951845629,-0.7212042420438053,-0.731984843586569,-0.7207841363745924,-0.7280805713756112,-0.732079589159748,-0.73385285815719,-0.7336710866130501,-0.7333293330111202,-0.7396064402331194,-0.7383682058499239,-0.7464241248407923,-0.7435722205139118,-0.7552973469171671,-0.7621476701131895,-0.7678156363608316,-0.7720110596233046,-0.7712554237862237,-0.7674676819428528,-0.7651268657393058,-0.7661348130677808,-0.7822840967421338,-0.7799418686463447,-0.7861592812594101,-0.8000771375347376,-0.7978530326372483,-0.7966199280233773,-0.8007411508749414,-0.7970576203471389,-0.7983185315597663,-0.8033707634992642,-0.798403696888042,-0.7948730540479224,-0.7895434133995429,-0.7863627086773625,-0.7884179036870731,-0.7927605000171216,-0.7999923026372219,-0.8055086431396181,-0.8104977219413246,-0.8026115886335069,-0.8083228136179613,-0.8079622249214686,-0.8115623236775648,-0.8048629249893566,-0.8079242070472921,-0.8057064156368796,-0.8109243102884242,-0.820175402971073,-0.8191508709368872,-0.8224638036904147,-0.8178027971139206,-0.8241760398845641,-0.8256010867317183,-0.8235754781504809,-0.825269695107093,-0.8180855163225996,-0.8170874076845069,-0.811365692752953
6,-0.019292023164282156,-0.013935869701306489,-0.0022637867410228046,-0.01463904804215736,-0.039307637330771125,-0.07450512125430284,-0.12129843876903929,-0.16135874536599765,-0.18275025134200729,-0.21280999346064025,-0.2533566646435992,-0.26922404999499894,-0.30865818948139934,-0.3576965279961755,-0.3740562829334063,-0.39721378645530675,-0.4158243068597167,-0.44748784708480194,-0.46141982644232515,-0.47827656431098925,-0.4742356242144142,-0.4834790618507854,-0.49662712049014734,-0.4982676988920848,-0.5003765262642794,-0.5195299247203559,-0.5188391604825326,-0.5189824147607784,-0.517476440370852,-0.5255556036102561,-0.5303913055292138,-0.5406233714243394,-0.5318021576102597,-0.5478055684870767,-0.5561317077055026,-0.5580945195080268,-0.5696725973340945,-0.5836232804474819,-0.586320024758439,-0.5996645037824548,-0.6107329964154571,-0.6047565093694017,-0.6186196233050123,-0.6235312169850306,-0.6243460459544445,-0.6366612613388855,-0.6471050440478707,-0.6647226803561362,-0.6746884163343759,-0.67178908594852,-0.6825670628796877,-0.6834733248875611,-0.6889048549957165,-0.6876507883482708,-0.6931840765988376,-0.6932324396368955,-0.699621629345563,-0.696061398804807,-0.6991612995155425,-0.7076948200041187,-0.7049301895089208,-0.7137100786226666,-0.7185170764334677,-0.7213951619245142,-0.73296474483097,-0.7357537671045158,-0.7494719459694851,-0.7490671934534887,-0.7500570161953266,-0.7599060855003001,-0.7555071869417636,-0.7561096401417902,-0.7592034737317133,-0.7531038670202725,-0.7600873980215287,-0.7608979873029091,-0.7679540348174878,-0.7686458007462214,-0.7641603032415873,-0.767158806205676,-0.7691183593917633,-0.7749928176612113,-0.778641548597093,-0.7731569855197445,-0.7749520664820779,-0.7803490372966932,-0.7876537329004093,-0.7780509565303394,-0.7824090484859118,-0.793818034059981,-0.7910788609775973,-0.7958776489008477,-0.7997516327243597,-0.7972535073112919,-0.7947572022679217,-0.7986008049781259,-0.7963178792566368,-0.7935480273562565,-0.7951260631472219,-0.802328047841275
7,-0.010082186487925188,-0.007992446745931308,-0.006184097560039799,-0.007594400788918472,-0.01017776219872117,-0.009660595171909815,-0.010159739279709248,0.004292581107217926,-0.04090000207198158,-0.0409543820425816,-0.0813654291137056,-0.12536108448390793,-0.16478674262728735,-0.2083194278507035,-0.25621558310793496,-0.2801803789614839,-0.3047043262931477,-0.3311330904551329,-0.35388155069759636,-0.36133045337176256,-0.38284142611006927,-0.4000840261770683,-0.41944680029588677,-0.4322448039044742,-0.4640621292100484,-0.4761898474671885,-0.45759271597600326,-0.47488055200925106,-0.48710920508635347,-0.5010237411714936,-0.5194638705676471,-0.533618232556904,-0.537431319696713,-0.5531812232218265,-0.5653078679956102,-0.5744667383946492,-0.5819560617985345,-0.5965620807137431,-0.5859100973147577,-0.5832913155728177,-0.6180552227005388,-0.6322829133591221,-0.6548305912600146,-0.6654672327031976,-0.674084360187512,-0.6853927033290655,-0.6921587994982452,-0.695599476201466,-0.698058674703656,-0.7165304247386417,-0.7239289850966977,-0.7242394996772171,-0.7357648954911531,-0.7393414873032819,-0.7497467591176552,-0.7449202962091216,-0.7398407704388493,-0.7397841789196652,-0.7241264371919681,-0.7257463747600865,-0.7200551979551034,-0.7198511864374116,-0.7258088956105395,-0.7257932404876112,-0.7286481289226598,-0.7372258830829564,-0.733469798904365,-0.729207586557157,-0.7265544584806635,-0.717060719572912,-0.7276601969954819,-0.7365768551623311,-0.7364335827450726,-0.7392613266341586,-0.729246507061264,-0.7312421151732267,-0.7255080500363954,-0.7294465803506175,-0.7415966377297539,-0.7445239846571293,-0.7500664863524011,-0.7513135823153625,-0.7505372683664459,-0.7521870009711006,-0.7500477231810191,-0.7532153121048186,-0.7556449344818599,-0.7649428099374807,-0.7653570798435457,-0.7666510578300074,-0.7611440910014408,-0.7622223996278072,-0.7636077115281643,-0.7576395182897546,-0.7654519032221943,-0.7785020320312123,-0.7784426464710235,-0.7744619336680385,-0.7769819164345954,-0.7847689247009764
8,-0.024846010790415606,-0.02898819227513376,-0.030105875495269486,-0.030465300819489952,-0.06319952597152918,-0.050789548591128525,-0.07671654176065547,-0.11129829664889147,-0.17042171331542755,-0.21251379569494894,-0.22477014457420677,-0.23842674496333008,-0.26409922112430584,-0.2722419697971712,-0.29062263699696733,-0.30610098704278366,-0.29987171597781315,-0.3285645903589507,-0.35201817820133496,-0.3654184464496046,-0.39192097321023084,-0.428339235424366,-0.4469212151699898,-0.47014753914135127,-0.47380904494962417,-0.4793211986393089,-0.48852208126532304,-0.4886594531879448,-0.5039995290908516,-0.5118574116103223,-0.528599580026656,-0.5624286776098786,-0.5645495494597474,-0.5774823927121389,-0.5841190392903122,-0.589455692790564,-0.5978425007342396,-0.6174555408372374,-0.6286693562121409,-0.6274308759238129,-0.6378811922881198,-0.6374358196384162,-0.6312290671242051,-0.639887217971884,-0.6488982349922701,-0.6515044592477941,-0.6639951210089587,-0.6707348644544866,-0.6678617692901362,-0.6706756975997336,-0.6805391447834027,-0.6841259601929884,-0.687721826908525,-0.6888774384584806,-0.6919188506023539,-0.704089284944206,-0.7080552357583336,-0.6987314570411906,-0.7012585803887855,-0.7041713130676129,-0.7036614850776894,-0.7033217509762919,-0.7111245243316604,-0.711620053652172,-0.7097729446909611,-0.7005157870279553,-0.7017027591373242,-0.7118173195590327,-0.7091073692259985,-0.7150077310016383,-0.7071291252366183,-0.7029570647499697,-0.7103915448125815,-0.7011773574751357,-0.7097995358309265,-0.7129773375964816,-0.7124721802147355,-0.709110275126024,-0.7098725177714263,-0.7148277342366061,-0.7126646257515193,-0.7081940533997724,-0.7192322902924012,-0.7175451918931774,-0.7153840537624023,-0.7260265057936508,-0.7264762853501534,-0.733570869662365,-0.7436869537593325,-0.7430248631793027,-0.7428201507855512,-0.7484627436291299,-0.7402189666006224,-0.7509878466763733,-0.7524262121337625,-0.7549053640147321,-0.754879959570591,-0.7622467701356704,-0.7646710527641334,-0.7677695155183483
9,-0.012915593978579382,0.01349072470629422,0.037077587029634755,0.05518409585545621,0.045310581896964075,0.03247061369947717,-0.02244422724651366,-0.06450895491107395,-0.08980784503262397,-0.11843320592225166,-0.15402832930866966,-0.19584186918907476,-0.22466021409099468,-0.23952372533679533,-0.26705604062732796,-0.2826017387529457,-0.3078476524839127,-0.3414946351802527,-0.3647829699347732,-0.3911647562440035,-0.40222185646686726,-0.4074962551621726,-0.4251074056606488,-0.44478802004645773,-0.462293461058954,-0.45878633222535414,-0.4750496931929733,-0.4797544950072983,-0.4781927166684888,-0.49136095984157513,-0.5109513804138751,-0.5296753884173665,-0.529343711287046,-0.5322423802643401,-0.5456631900677263,-0.5570496310070989,-0.559202065116135,-0.5738674722610971,-0.5758801909823477,-0.5886851858744747,-0.5756435919216132,-0.5857436337607388,-0.600849047229775,-0.6160104850041521,-0.6194531995817943,-0.6285293661318009,-0.6295234831580158,-0.6365360429137401,-0.6508432761383942,-0.648521900830678,-0.6452939276395394,-0.6433284776184466,-0.6562827567948947,-0.6780433004158231,-0.6822925841399342,-0.6849842181178546,-0.6926938369341403,-0.6945665218580054,-0.6957464525587178,-0.6987950080363768,-0.6930424013801211,-0.6924650659783851,-0.6877885939969005,-0.6783885048261786,-0.6799762103015037,-0.6755604384748592,-0.6772740510731561,-0.6859707783992423,-0.6812266568058644,-0.6851720956111449,-0.6811134101607275,-0.6843437352189956,-0.6862632393124882,-0.6884337314482497,-0.6898783605492558,-0.6764327452940024,-0.6804640888565271,-0.6864364007960773,-0.6839842575186909,-0.6918820894831508,-0.6853424465883411,-0.6839687288841234,-0.681047404520102,-0.6892417033393963,-0.6902941338154985,-0.694181095252944,-0.6969957071360746,-0.6974687881207825,-0.7011437893870844,-0.7103628060293997,-0.6997804308938655,-0.7035763875650747,-0.7039055809630688,-0.7032342896151326,-0.7143513116029038,-0.7132127751994151,-0.7134261709178332,-0.714596972021833,-0.7080428103354017,-0.705275207829338
