id,polarization,mean intention,adoption rate
300,0.10348737547220396,0.10348737547220396,0.52
301,0.21017732841010608,0.21017732841010608,0.79
302,0.25453610433834034,0.25453610433834034,0.81
303,0.2966589324838367,0.2966589324838367,0.86
304,0.015319082390651655,0.015319082390651655,0.59
305,0.04261941217097896,0.04261941217097896,0.56
306,0.08761192454266825,0.08761192454266825,0.5
307,0.39405648609658295,0.39405648609658295,0.87
308,0.22780298337236038,0.22780298337236038,0.7
309,0.20720170038349198,0.20720170038349198,0.77
310,0.31225639231894614,0.31225639231894614,0.81
311,0.10625206121106923,0.10625206121106923,0.55
312,0.14308522986498043,0.14308522986498043,0.56
313,0.007399761420832533,0.007399761420832533,0.44
314,0.2514043628226503,0.2514043628226503,0.82
315,0.3202278425282342,0.3202278425282342,0.91
316,-0.06565598098653874,-0.06565598098653874,0.49
317,0.23418098764533138,0.23418098764533138,0.65
318,0.18724748155827886,0.18724748155827886,0.63
319,0.25922010605696577,0.25922010605696577,0.62
320,-0.01026180079968545,-0.01026180079968545,0.49
321,0.32832274538174316,0.32832274538174316,0.85
322,0.2686254626101842,0.2686254626101842,0.84
323,0.28489533066315814,0.28489533066315814,0.81
324,-0.00587677755003776,-0.00587677755003776,0.51
325,0.15373254345668946,0.15373254345668946,0.63
326,0.2060487797245505,0.2060487797245505,0.67
327,0.0890866935050829,0.0890866935050829,0.53
328,6.546151107064308E-4,6.546151107064308E-4,0.61
329,-0.03334040737913098,-0.03334040737913098,0.31
330,0.30179966034147376,0.30179966034147376,0.84
331,0.14641101646769672,0.14641101646769672,0.56
332,-0.03385424057202159,-0.03385424057202159,0.37
333,7.098474964539822E-4,7.098474964539822E-4,0.37
334,0.31985609009912097,0.31985609009912097,0.82
335,0.12071603551254574,0.12071603551254574,0.48
336,0.25916620233861504,0.25916620233861504,0.66
337,0.3398277600291832,0.3398277600291832,0.81
338,0.04931914745325232,0.04931914745325232,0.42
339,0.021759285713563826,0.021759285713563826,0.45
340,0.23027867650648287,0.23027867650648287,0.56
341,-0.08248586833399128,-0.08248586833399128,0.4
342,0.21923015754588235,0.21923015754588235,0.73
343,-0.10949283635357697,-0.10949283635357697,0.39
344,-0.08829957145169226,-0.08829957145169226,0.44
345,0.09190682833908453,0.09190682833908453,0.6
346,0.06791066609330577,0.06791066609330577,0.52
347,-0.0574436131392223,-0.0574436131392223,0.45
348,-0.14653701828200183,-0.14653701828200183,0.35
349,0.41089298189967954,0.41089298189967954,0.87
350,0.09022056711340846,0.09022056711340846,0.45
351,0.41202348513778,0.41202348513778,0.94
352,-0.010042340054120519,-0.010042340054120519,0.54
353,0.38307516984593476,0.38307516984593476,0.88
354,0.032583809692104664,0.032583809692104664,0.52
355,0.1008441026365356,0.1008441026365356,0.54
356,0.29577564945828616,0.29577564945828616,0.82
357,0.12740653348059003,0.12740653348059003,0.65
358,0.28299435585130117,0.28299435585130117,0.7
359,0.16726469938616417,0.16726469938616417,0.6
360,0.04156843466814633,0.04156843466814633,0.45
361,0.19188593042097138,0.19188593042097138,0.74
362,0.17297271691880586,0.17297271691880586,0.65
363,0.1826249396553009,0.1826249396553009,0.5
364,0.19237302372909135,0.19237302372909135,0.65
365,0.1561807310279564,0.1561807310279564,0.51
366,0.05048728129212069,0.05048728129212069,0.49
367,0.3567580108586951,0.3567580108586951,0.81
368,0.30186298494255004,0.30186298494255004,0.69
369,0.33025466454391217,0.33025466454391217,0.86
370,0.09124074435309615,0.09124074435309615,0.6
371,0.1956082753049262,0.1956082753049262,0.59
372,0.29658661856375246,0.29658661856375246,0.76
373,0.034746846556312924,0.034746846556312924,0.5
374,-0.024352343530066278,-0.024352343530066278,0.42
375,0.5040424465809487,0.5040424465809487,0.92
376,0.16082503803383974,0.16082503803383974,0.64
377,0.4539202251993628,0.4539202251993628,0.92
378,0.0031311164374291317,0.0031311164374291317,0.41
379,0.3510691546635049,0.3510691546635049,0.78
380,0.16606525506976882,0.16606525506976882,0.81
381,0.2621854318288953,0.2621854318288953,0.73
382,0.07457222739701791,0.07457222739701791,0.52
383,0.3550577718392613,0.3550577718392613,0.81
384,0.2383427656107803,0.2383427656107803,0.58
385,0.1840484307339722,0.1840484307339722,0.58
386,0.20392097732562992,0.20392097732562992,0.56
387,0.024534582946882554,0.024534582946882554,0.52
388,-0.10802269855985004,-0.10802269855985004,0.38
389,0.13050679976874638,0.13050679976874638,0.68
390,0.1244348938398433,0.1244348938398433,0.59
391,0.046385004123939574,0.046385004123939574,0.53
392,0.17265935223712314,0.17265935223712314,0.65
393,0.04733644192695245,0.04733644192695245,0.53
394,0.09393527416844549,0.09393527416844549,0.54
395,0.17741470988387423,0.17741470988387423,0.51
396,0.05205862424542511,0.05205862424542511,0.5
397,-0.06161031879480963,-0.06161031879480963,0.37
398,0.38375048264240014,0.38375048264240014,0.74
399,0.2990645672218713,0.2990645672218713,0.7
