id,adoption_evolution_0,adoption_evolution_1,adoption_evolution_2,adoption_evolution_3,adoption_evolution_4,adoption_evolution_5,adoption_evolution_6,adoption_evolution_7,adoption_evolution_8,adoption_evolution_9,adoption_evolution_10,adoption_evolution_11,adoption_evolution_12,adoption_evolution_13,adoption_evolution_14,adoption_evolution_15,adoption_evolution_16,adoption_evolution_17,adoption_evolution_18,adoption_evolution_19
0,0.0,0.0,0.06,0.09,0.08000000000000002,0.05000000000000002,0.04999999999999999,0.0,0.019999999999999962,0.020000000000000018,0.030000000000000027,0.0,0.0,0.019999999999999962,0.0,0.010000000000000009,0.020000000000000018,0.019999999999999962,0.020000000000000018,0.020000000000000018
1,0.0,0.0,0.03,0.04000000000000001,0.03,0.03,0.01999999999999999,0.010000000000000009,0.0,0.010000000000000009,0.01999999999999999,0.0,0.0,0.010000000000000009,0.0,0.0,0.009999999999999981,0.0,0.0,0.0
2,0.0,0.02,0.039999999999999994,0.0,0.010000000000000009,0.009999999999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009999999999999995,0.0,0.0,0.010000000000000009,0.0,0.0
3,0.0,0.02,0.09,0.06999999999999999,0.04000000000000001,0.010000000000000009,0.0,0.009999999999999981,0.020000000000000018,0.010000000000000009,0.0,0.0,0.0,0.019999999999999962,0.020000000000000018,0.0,0.0,0.0,0.010000000000000009,0.0
4,0.0,0.0,0.06,0.08000000000000002,0.03999999999999998,0.010000000000000009,0.010000000000000009,0.009999999999999981,0.010000000000000009,0.010000000000000009,0.009999999999999981,0.0,0.010000000000000009,0.0,0.010000000000000009,0.0,0.010000000000000009,0.010000000000000009,0.0,0.0
5,0.0,0.02,0.02,0.0,0.0,0.010000000000000002,0.009999999999999995,0.0,0.0,0.020000000000000004,0.0,0.0,0.020000000000000004,0.0,0.0,0.009999999999999995,0.0,0.0,0.0,0.0
6,0.0,0.01,0.049999999999999996,0.07,0.010000000000000009,0.01999999999999999,0.01999999999999999,0.010000000000000009,0.0,0.0,0.0,0.0,0.0,0.0,0.010000000000000009,0.01999999999999999,0.0,0.01999999999999999,0.010000000000000009,0.0
7,0.0,0.0,0.02,0.06999999999999999,0.010000000000000009,0.03,0.0,0.01999999999999999,0.04000000000000001,0.01999999999999999,0.03,0.020000000000000018,0.0,0.0,0.0,0.0,0.0,0.010000000000000009,0.019999999999999962,0.010000000000000009
8,0.0,0.01,0.08,0.010000000000000009,0.04000000000000001,0.01999999999999999,0.03,0.010000000000000009,0.0,0.009999999999999981,0.010000000000000009,0.010000000000000009,0.009999999999999981,0.010000000000000009,0.020000000000000018,0.019999999999999962,0.010000000000000009,0.010000000000000009,0.0,0.0
9,0.0,0.0,0.05,0.06999999999999999,0.010000000000000009,0.04000000000000001,0.009999999999999981,0.020000000000000018,0.0,0.009999999999999981,0.010000000000000009,0.0,0.0,0.0,0.0,0.01999999999999999,0.010000000000000009,0.0,0.0,0.0
10,0.0,0.0,0.03,0.020000000000000004,0.03,0.009999999999999995,0.0,0.010000000000000009,0.009999999999999995,0.009999999999999995,0.0,0.0,0.0,0.0,0.010000000000000009,0.0,0.0,0.0,0.0,0.0
11,0.0,0.0,0.02,0.039999999999999994,0.010000000000000009,0.01999999999999999,0.0,0.020000000000000004,0.009999999999999995,0.010000000000000009,0.0,0.0,0.010000000000000009,0.0,0.009999999999999981,0.0,0.0,0.010000000000000009,0.0,0.0
12,0.0,0.0,0.14,0.03999999999999998,0.010000000000000009,0.03,0.0,0.010000000000000009,0.0,0.0,0.009999999999999981,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010000000000000009
13,0.0,0.05,0.08,0.06,0.06,0.03999999999999998,0.040000000000000036,0.019999999999999962,0.0,0.030000000000000027,0.0,0.0,0.0,0.02999999999999997,0.0,0.0,0.0,0.0,0.0,0.0
14,0.0,0.04,0.060000000000000005,0.07999999999999999,0.06,0.040000000000000036,0.019999999999999962,0.020000000000000018,0.020000000000000018,0.009999999999999953,0.0,0.010000000000000009,0.020000000000000018,0.020000000000000018,0.0,0.009999999999999953,0.020000000000000018,0.0,0.0,0.0
15,0.0,0.02,0.14,0.12000000000000002,0.06,0.06,0.04999999999999999,0.04999999999999999,0.040000000000000036,0.04999999999999993,0.020000000000000018,0.020000000000000018,0.020000000000000018,0.030000000000000027,0.009999999999999898,0.0,0.020000000000000018,0.0,0.0,0.0
16,0.0,0.01,0.13,0.10999999999999999,0.030000000000000027,0.019999999999999962,0.020000000000000018,0.020000000000000018,0.02999999999999997,0.020000000000000018,0.0,0.0,0.019999999999999962,0.0,0.0,0.0,0.010000000000000009,0.010000000000000009,0.0,0.0
17,0.0,0.02,0.030000000000000002,0.039999999999999994,0.08000000000000002,0.01999999999999999,0.04000000000000001,0.01999999999999999,0.010000000000000009,0.0,0.020000000000000018,0.0,0.009999999999999953,0.020000000000000018,0.0,0.0,0.0,0.0,0.010000000000000009,0.010000000000000009
18,0.0,0.01,0.03,0.07,0.05,0.03,0.04000000000000001,0.01999999999999999,0.010000000000000009,0.02999999999999997,0.0,0.0,0.010000000000000009,0.010000000000000009,0.0,0.010000000000000009,0.0,0.010000000000000009,0.019999999999999962,0.020000000000000018
19,0.0,0.01,0.01,0.0,0.02,0.010000000000000002,0.0,0.009999999999999995,0.03,0.0,0.0,0.010000000000000009,0.03,0.010000000000000009,0.0,0.009999999999999981,0.010000000000000009,0.0,0.0,0.0
20,0.0,0.01,0.04,0.06,0.0,0.039999999999999994,0.010000000000000009,0.0,0.01999999999999999,0.010000000000000009,0.03,0.0,0.010000000000000009,0.0,0.0,0.03,0.010000000000000009,0.010000000000000009,0.019999999999999962,0.0
21,0.0,0.0,0.1,0.07,0.009999999999999981,0.010000000000000009,0.03,0.010000000000000009,0.0,0.0,0.0,0.0,0.009999999999999981,0.0,0.0,0.010000000000000009,0.0,0.020000000000000018,0.0,0.0
22,0.0,0.0,0.01,0.060000000000000005,0.009999999999999995,0.009999999999999995,0.03,0.010000000000000009,0.010000000000000009,0.0,0.009999999999999981,0.010000000000000009,0.010000000000000009,0.009999999999999981,0.010000000000000009,0.0,0.0,0.0,0.0,0.0
23,0.0,0.02,0.11,0.04999999999999999,0.020000000000000018,0.01999999999999999,0.03,0.010000000000000009,0.0,0.010000000000000009,0.0,0.010000000000000009,0.009999999999999953,0.020000000000000018,0.010000000000000009,0.0,0.0,0.0,0.0,0.0
